epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7492,2.04966,5.7867,1.96343,0.17581,0.78,0.473,0.37352,1.8804,5.05781,1.85497,0.06733,0.00033,0.00033
2,43.8961,1.88941,2.4546,1.90347,0.6465,0.65667,0.68289,0.54943,1.61393,1.89408,1.77556,0.0343294,0.000662685,0.000662685
3,63.9112,1.822,2.13217,1.90023,0.69881,0.7,0.77048,0.61085,1.5685,1.7065,1.76103,0.00132611,0.000992776,0.000992776
4,84.1574,1.82386,1.98164,1.9214,0.64806,0.74,0.78661,0.62692,1.57665,1.54221,1.77638,0.000991232,0.000991232,0.000991232
5,104.471,1.77075,1.77725,1.92146,0.79828,0.84667,0.89629,0.71618,1.49047,1.30178,1.77353,0.000984449,0.000984449,0.000984449
6,124.574,1.67551,1.61589,1.87866,0.77713,0.82667,0.89082,0.73151,1.43118,1.20947,1.75082,0.000975773,0.000975773,0.000975773
7,145.419,1.68516,1.57449,1.89453,0.79112,0.82,0.89164,0.73127,1.41178,1.2574,1.75104,0.000965239,0.000965239,0.000965239
8,165.348,1.6362,1.42321,1.85233,0.82798,0.88241,0.92541,0.76658,1.3864,1.1385,1.73879,0.000952889,0.000952889,0.000952889
9,185.387,1.61378,1.41517,1.8534,0.91401,0.81487,0.9342,0.77505,1.37034,1.03934,1.74917,0.000938772,0.000938772,0.000938772
10,205.363,1.59522,1.37873,1.85302,0.87593,0.88333,0.942,0.75517,1.42428,1.06568,1.7409,0.000922942,0.000922942,0.000922942
11,225.548,1.55525,1.26311,1.82879,0.86657,0.85667,0.94663,0.79005,1.34843,0.98126,1.72488,0.000905463,0.000905463,0.000905463
12,246.11,1.52372,1.23759,1.83708,0.85729,0.85,0.94857,0.79464,1.32474,0.99174,1.71765,0.000886404,0.000886404,0.000886404
13,266.472,1.53376,1.18564,1.82659,0.90608,0.90333,0.96783,0.81911,1.31375,0.86102,1.71513,0.000865839,0.000865839,0.000865839
